Gender,Webcam status during class,Mic status during class,Which device do you use for online classes?,Did you face any of the following issues after the initiation of online classes?,Are you able to understand the concepts through online classes?,Which teaching methodology do you prefer?,Are you interested in attending online classes?,If you are given a choice between online classes and offline classes which one will you choose?
Female,Off (Shy to switch on),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes
Male,On (When teacher asks),Off (No mic available),Computer,Other,Yes,Presentations (ppt),Yes,Offline classes
Female,Off (Shy to switch on),Off (Do not want to reply),"Tab, Laptop",Eye Strain,Yes,Presentations (ppt),Yes,Online classes
Female,Off (Untidy appearance),On (To answer Teacher),Phone,"Eye Strain, Stress",Yes,Black board teaching,No,Offline classes
Female,Off (Other reason),Off (Other reason),Laptop,Other,Yes,Presentations (ppt),Yes,Offline classes
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Back pain, Headache, Stress",Yes,Black board teaching,Yes,Offline classes
Female,Off (Other reason),Off (Do not want to reply),"Phone, Laptop","Eye Strain, Back pain, Stress",No,Black board teaching,No,Offline classes
Female,Off (Shy to switch on),Off (Do not want to reply),"Phone, Tab, Laptop, Computer","Back pain, Stress",Yes,Presentations (ppt),Yes,Online classes
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Presentations (ppt),Yes,Online classes
Female,On (All the time),Always On,Laptop,Headache,No,Black board teaching,No,Online classes
Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,Yes,Presentations (ppt),No,Offline classes
Male,On (All the time),Off (Do not want to reply),Phone,Stress,Yes,Presentations (ppt),Yes,Offline classes
Male,On (All the time),Always On,Phone,Back pain,Yes,Presentations (ppt),Yes,Offline classes
Male,On (All the time),Always On,Tab,Stress,Yes,Black board teaching,Yes,Offline classes
Female,On (All the time),Always On,Tab,Stress,Yes,Black board teaching,No,Offline classes
Male,On (All the time),Always On,Phone,Stress,Yes,Black board teaching,No,Offline classes
Male,Off (Other reason),Always On,Tab,Eye Strain,Yes,Black board teaching,No,Online classes
Male,On (All the time),Always On,Phone,Stress,Yes,Black board teaching,No,Offline classes
Male,On (All the time),Always On,Laptop,Stress,Yes,Presentations (ppt),No,Offline classes
Male,On (All the time),Always On,Laptop,Stress,Yes,Presentations (ppt),No,Offline classes
Male,On (All the time),Always On,Laptop,Stress,No,Presentations (ppt),No,Offline classes
Male,On (All the time),Always On,Laptop,Stress,Yes,Presentations (ppt),No,Offline classes
Male,On (All the time),Always On,Laptop,Stress,Yes,Black board teaching,No,Offline classes
